ORIGIN_AIRPORT_ID,AVG_DEP_DELAY,VAR_DEP_DELAY,MAX_DEP_DELAY,MIN_DEP_DELAY,COUNT_DEP_DELAY,COUNT_DEP_DELAY_10_OR_MORE,OUTLIERS_DEP_DELAY,AVG_ARR_TIME,VAR_ARR_TIME,MAX_ARR_TIME,MIN_ARR_TIME,AVG_ARR_DELAY,VAR_ARR_DELAY,MAX_ARR_DELAY,MIN_ARR_DELAY,COUNT_ARR_DELAY,COUNT_ARR_DELAY_5_OR_MORE,OUTLIERS_ARR_DELAY,PROPORTION_COUNT_DEP_DELAY_10_OR_MORE,PROPORTION_OUTLIERS_DEP_DELAY,PROPORTION_COUNT_ARR_DELAY_5_OR_MORE,PROPORTION_OUTLIERS_ARR_DELAY
11259,5.974501471068977,479.0475759734315,625.0,-18.0,6118,1319,649,1516.2067779960707,239443.37871940207,2400.0,2.0,-3.011311475409836,580.4906082158063,624.0,-67.0,6100,1315,403,0.2155933311539719,0.10608041843739784,0.2155737704918033,0.0660655737704918
11267,5.659824046920821,1768.6552042742921,770.0,-19.0,1023,170,168,1289.782991202346,222668.77477891088,2304.0,114.0,3.2701375245579567,1956.0105331177458,754.0,-54.0,1018,318,65,0.16617790811339198,0.16422287390029325,0.31237721021611004,0.06385068762278978
11274,9.853333333333333,2459.6944144144145,371.0,-14.0,75,19,9,1234.7066666666667,217959.6965765766,2004.0,641.0,8.306666666666667,3827.6209009009,444.0,-39.0,75,23,8,0.25333333333333335,0.12,0.30666666666666664,0.10666666666666667
11278,11.161724107222371,2734.8055138066657,1262.0,-26.0,11229,2447,1612,1508.075748101831,245743.3222945873,2400.0,1.0,7.6397387725890145,3198.247313951622,1296.0,-68.0,11178,3391,1162,0.2179178911746371,0.14355686169739068,0.3033637502236536,0.10395419574163535
11292,9.551004805591962,1544.029619437041,1018.0,-19.0,18312,4272,2257,1589.5662340507092,258220.9686275976,2400.0,1.0,2.3733260153677276,1754.2292461959134,1007.0,-76.0,18220,5185,1347,0.23328964613368283,0.12325251201397991,0.2845773874862788,0.07392974753018661
11298,8.292654028436019,1565.3606569660074,1270.0,-21.0,22788,4889,3028,1539.2822934973638,297203.34413921065,2400.0,1.0,5.133582911253028,1625.2645279699766,1275.0,-58.0,22705,7045,1828,0.21454274179392663,0.13287695278216605,0.31028407839682887,0.08051090068266901
11308,7.5701754385964914,1709.80476634063,201.0,-15.0,114,18,17,1387.877192982456,219621.57770532538,2249.0,704.0,0.8070175438596491,1667.1482689023444,202.0,-41.0,114,19,14,0.15789473684210525,0.14912280701754385,0.16666666666666666,0.12280701754385964
11337,25.929411764705883,13559.261260006957,1083.0,-15.0,170,35,32,1285.629411764706,201752.13995823177,2203.0,544.0,17.88235294117647,13802.991994430915,1088.0,-40.0,170,48,21,0.20588235294117646,0.18823529411764706,0.2823529411764706,0.12352941176470589
11413,8.927038626609441,1417.6282743821216,238.0,-17.0,233,55,36,1247.4291845493563,157708.49604114247,2342.0,652.0,9.317596566523605,1567.0193873020585,244.0,-32.0,233,90,16,0.23605150214592274,0.15450643776824036,0.38626609442060084,0.06866952789699571
11415,14.278688524590164,4762.371038251367,435.0,-24.0,61,11,7,1286.360655737705,191293.50109289624,1833.0,805.0,2.2950819672131146,4556.311475409838,421.0,-38.0,61,10,9,0.18032786885245902,0.11475409836065574,0.16393442622950818,0.14754098360655737
11423,12.441950464396285,4520.65270819894,1074.0,-23.0,1292,265,184,1392.3653250773993,188014.8796022953,2349.0,227.0,8.525948876839658,4840.092930784983,1049.0,-61.0,1291,410,112,0.20510835913312694,0.14241486068111456,0.3175832687838885,0.08675445391169635
11433,14.740706241002625,4389.835369453737,1177.0,-46.0,11809,2565,1919,1537.5517826825128,250923.99061147418,2400.0,1.0,4.24968087822313,4906.7395264939005,1159.0,-85.0,11751,3311,1007,0.21720721483614192,0.16250317554407656,0.2817632541911327,0.08569483448217173
11447,55.1875,34739.347074468074,805.0,-32.0,48,11,8,1058.6808510638298,276013.8741905642,1927.0,520.0,38.191489361702125,27827.462534690098,805.0,-42.0,47,10,7,0.22916666666666666,0.16666666666666666,0.2127659574468085,0.14893617021276595
11468,-5.68,1786.5077551020408,264.0,-32.0,50,3,5,1139.56,292532.0881632654,1844.0,622.0,-6.24,2149.9820408163264,271.0,-39.0,50,10,9,0.06,0.1,0.2,0.18
11471,18.641509433962263,7017.9267053701,449.0,-19.0,53,11,10,1136.566037735849,223731.25036284464,2302.0,634.0,22.28301886792453,9260.168359941943,488.0,-31.0,53,19,8,0.20754716981132076,0.18867924528301888,0.3584905660377358,0.1509433962264151
11481,4.292517006802721,1120.7392393320965,313.0,-19.0,441,67,68,1374.2857142857142,177058.29090909072,2216.0,728.0,-1.489795918367347,1128.3822820037105,271.0,-45.0,441,84,42,0.15192743764172337,0.15419501133786848,0.19047619047619047,0.09523809523809523
11503,28.21861471861472,8148.179869660348,1149.0,-23.0,462,174,49,1672.0433839479392,117457.83289635001,2352.0,3.0,27.369230769230768,8582.60786174179,1162.0,-40.0,455,219,46,0.37662337662337664,0.10606060606060606,0.48131868131868133,0.1010989010989011
11525,2.259259259259259,5322.6107617051,526.0,-15.0,54,2,5,1151.611111111111,191504.24213836476,1653.0,719.0,-0.9814814814814815,5475.188329839275,526.0,-29.0,54,5,2,0.037037037037037035,0.09259259259259259,0.09259259259259259,0.037037037037037035
11537,-6.0,91.2121212121212,22.0,-25.0,34,2,1,1637.4411764705883,198016.73885918,2252.0,826.0,-6.823529411764706,230.93761140819967,25.0,-34.0,34,8,0,0.058823529411764705,0.029411764705882353,0.23529411764705882,0.0
11540,5.422758100979653,1606.422196610369,902.0,-21.0,1327,231,196,1364.7058823529412,188961.16776914572,2358.0,3.0,-0.10784313725490197,1695.2162856085808,904.0,-42.0,1326,308,89,0.17407686510926904,0.14770158251695553,0.23227752639517346,0.06711915535444947
11577,7.8933333333333335,2094.8803603603596,262.0,-19.0,75,13,12,1293.8933333333334,225651.96144144153,2238.0,704.0,-2.04,2315.8497297297304,243.0,-45.0,75,18,7,0.17333333333333334,0.16,0.24,0.09333333333333334
11587,32.18,20272.068979591837,957.0,-21.0,50,14,7,1629.02,128444.101632653,2032.0,1125.0,31.26,23098.19632653061,1017.0,-30.0,50,17,4,0.28,0.14,0.34,0.08
11603,21.873333333333335,5634.131059085839,599.0,-16.0,300,74,51,1436.96,228164.07866220738,2359.0,10.0,17.916666666666668,5664.97296544036,582.0,-43.0,300,106,36,0.24666666666666667,0.17,0.35333333333333333,0.12
11612,4.403030303030303,1537.6881366860093,464.0,-21.0,330,48,43,1339.709090909091,167390.15219673928,2237.0,702.0,-2.1458966565349544,1790.5335273185551,462.0,-45.0,329,76,29,0.14545454545454545,0.1303030303030303,0.23100303951367782,0.08814589665653495
11617,-0.702247191011236,731.2724243001334,170.0,-23.0,178,23,22,1366.561797752809,255301.81819336003,2238.0,623.0,-7.679775280898877,802.6708880848092,162.0,-53.0,178,28,10,0.12921348314606743,0.12359550561797752,0.15730337078651685,0.056179775280898875
11618,17.380859754911494,3135.137686333982,1129.0,-26.0,10282,2898,1476,1498.6856698122385,333554.29338384693,2400.0,1.0,11.5210855134713,3402.29917460989,1113.0,-83.0,10244,3820,920,0.2818517798093756,0.14355183816378136,0.37290121046466224,0.08980866848887153
11624,11.28491620111732,2010.7227757858761,356.0,-22.0,537,141,57,1613.4804469273743,139264.67545651627,2356.0,734.0,9.858757062146893,2112.6460505276605,360.0,-41.0,531,189,50,0.26256983240223464,0.10614525139664804,0.3559322033898305,0.09416195856873823
11630,-4.028901734104046,959.8542347323446,392.0,-27.0,346,28,25,1381.5623188405798,349902.6770643748,2335.0,159.0,-10.466666666666667,1028.2903100775197,399.0,-53.0,345,38,21,0.08092485549132948,0.07225433526011561,0.11014492753623188,0.06086956521739131
11637,29.72636815920398,10606.663093510011,1175.0,-24.0,402,139,45,1390.1225,230443.81202380944,2249.0,127.0,24.2425,10799.91347744361,1152.0,-40.0,400,159,44,0.34577114427860695,0.11194029850746269,0.3975,0.11
11638,10.22884012539185,5936.354481184665,1651.0,-24.0,957,180,151,1354.8756530825497,207895.76799447348,2350.0,28.0,8.444560669456067,6034.542473000499,1638.0,-38.0,956,269,100,0.18808777429467086,0.15778474399164055,0.2813807531380753,0.10460251046025104
11641,11.28735632183908,6673.213262599471,1175.0,-18.0,261,61,24,1452.6168582375478,220965.59879162992,2329.0,110.0,7.045977011494253,6674.7824933687,1170.0,-37.0,261,81,15,0.23371647509578544,0.09195402298850575,0.3103448275862069,0.05747126436781609
11648,5.366492146596858,2369.6333976302008,474.0,-15.0,191,25,21,1421.3874345549739,201314.44910443656,2039.0,204.0,-4.460732984293194,2877.7760815651695,461.0,-54.0,191,40,15,0.13089005235602094,0.1099476439790576,0.2094240837696335,0.07853403141361257
11695,6.442477876106195,2231.2846080910244,394.0,-19.0,113,16,16,1388.486725663717,181325.46634007577,2254.0,822.0,1.6814159292035398,2170.969026548672,367.0,-37.0,113,25,13,0.1415929203539823,0.1415929203539823,0.22123893805309736,0.11504424778761062
11697,11.273395565927654,1501.0909597606526,624.0,-23.0,8570,2234,1071,1507.07368052312,344385.7730360357,2400.0,1.0,5.473641145528931,1739.804396314983,619.0,-50.0,8555,2603,747,0.26067677946324386,0.1249708284714119,0.3042665108123904,0.08731735827001753
11721,9.45136186770428,1581.5845391536977,269.0,-22.0,257,57,32,1368.42578125,248396.778783701,2345.0,2.0,4.58984375,1976.3762101715688,285.0,-46.0,256,82,16,0.22178988326848248,0.1245136186770428,0.3203125,0.0625
11775,15.05989110707804,6697.2164065335755,1128.0,-28.0,551,114,83,1332.7277676950998,268626.1730275531,2352.0,16.0,9.312159709618875,7316.578742781717,1142.0,-48.0,551,160,53,0.20689655172413793,0.15063520871143377,0.29038112522686027,0.09618874773139746
11778,1.216867469879518,2089.2738955823284,518.0,-14.0,166,17,17,1376.1746987951808,223131.2238408178,2249.0,725.0,0.8192771084337349,2220.161080686382,512.0,-38.0,166,39,14,0.10240963855421686,0.10240963855421686,0.23493975903614459,0.08433734939759036
11823,16.68354430379747,3753.6696019079063,482.0,-20.0,553,130,90,1215.7554347826087,188985.2232008995,2305.0,33.0,13.808743169398907,4139.103865023335,480.0,-42.0,549,203,49,0.23508137432188064,0.162748643761302,0.3697632058287796,0.08925318761384335
11865,24.96551724137931,16718.946158499697,923.0,-17.0,58,13,11,1095.603448275862,162580.76981246224,2215.0,646.0,21.362068965517242,16224.44555353902,900.0,-33.0,58,19,4,0.22413793103448276,0.1896551724137931,0.3275862068965517,0.06896551724137931
11867,6.578947368421052,1799.0338345864657,191.0,-16.0,57,8,8,1172.3333333333333,158711.94047619044,1629.0,722.0,6.473684210526316,1753.6823308270673,180.0,-24.0,57,15,3,0.14035087719298245,0.14035087719298245,0.2631578947368421,0.05263157894736842
11884,6.743199129488574,2239.8097984690185,586.0,-22.0,919,144,139,1313.4004352557126,206966.62596930945,2325.0,48.0,0.08296943231441048,2348.2444746701035,594.0,-55.0,916,203,73,0.15669205658324264,0.1512513601741023,0.22161572052401746,0.07969432314410481
11898,16.28481012658228,7951.580786906397,997.0,-19.0,158,36,24,1368.867088607595,221755.37712650167,2325.0,553.0,11.259493670886076,8421.212488913972,1020.0,-42.0,158,46,18,0.22784810126582278,0.1518987341772152,0.2911392405063291,0.11392405063291139
11905,-1.847457627118644,142.3728813559322,50.0,-13.0,59,5,2,1409.457627118644,83634.04558737566,1954.0,1119.0,-2.4745762711864407,355.1502045587373,95.0,-30.0,59,14,3,0.0847457627118644,0.03389830508474576,0.23728813559322035,0.05084745762711865
11921,4.585365853658536,4008.4463585195313,858.0,-25.0,287,33,37,1405.8815331010453,187709.7201822567,2350.0,723.0,2.8257839721254356,4082.612899295826,869.0,-32.0,287,63,23,0.11498257839721254,0.1289198606271777,0.21951219512195122,0.08013937282229965
11953,6.101694915254237,1554.9811302636006,360.0,-20.0,354,57,38,1338.765536723164,241035.2054944704,2250.0,8.0,2.6505681818181817,1555.9259825822332,346.0,-31.0,352,90,19,0.16101694915254236,0.10734463276836158,0.2556818181818182,0.05397727272727273
11973,0.8845070422535212,735.6956632450066,224.0,-20.0,355,39,43,1325.1098591549296,204479.90032625143,2301.0,17.0,-1.228169014084507,906.7302777114662,227.0,-31.0,355,76,31,0.10985915492957747,0.12112676056338029,0.2140845070422535,0.08732394366197183
11977,15.018181818181818,5002.662282398452,843.0,-17.0,330,80,48,1322.0547112462007,195145.4787048708,2226.0,158.0,13.206686930091186,5504.451052709611,835.0,-33.0,329,124,29,0.24242424242424243,0.14545454545454545,0.3768996960486322,0.08814589665653495
11980,10.793814432989691,1185.811211340206,227.0,-15.0,97,26,12,1343.0103092783504,212654.51030927835,2202.0,733.0,0.7422680412371134,1611.443298969072,198.0,-44.0,97,25,10,0.26804123711340205,0.12371134020618557,0.25773195876288657,0.10309278350515463
11982,3.7327935222672064,1821.8957901319902,419.0,-15.0,247,35,25,1367.5384615384614,238456.09505941215,2242.0,540.0,-0.3048780487804878,1862.9474863115984,412.0,-38.0,246,66,10,0.1417004048582996,0.10121457489878542,0.2682926829268293,0.04065040650406504
11986,18.002152080344334,4021.2311511441167,1026.0,-23.0,1394,391,184,1411.509705248023,219614.55799926553,2342.0,11.0,12.852411807055436,4695.885262550755,1052.0,-58.0,1389,529,120,0.2804878048780488,0.13199426111908177,0.380849532037437,0.08639308855291576
11995,6.875734676742233,1569.092108178285,484.0,-29.0,1191,206,198,1356.7764705882353,208027.02148122495,2349.0,24.0,0.9193277310924369,1813.1608540472537,475.0,-52.0,1190,282,123,0.17296389588581024,0.16624685138539042,0.23697478991596638,0.10336134453781512
11996,6.439655172413793,2945.8893665764144,1500.0,-23.0,1160,208,176,1299.4460742018982,205043.77407567992,2309.0,622.0,-0.9378238341968912,3116.3504955195012,1508.0,-48.0,1158,245,98,0.1793103448275862,0.15172413793103448,0.21157167530224524,0.0846286701208981
12003,20.333333333333332,6111.396551724137,634.0,-13.0,117,24,20,1156.6239316239316,153197.5125257884,2233.0,712.0,9.350427350427351,6296.108900677862,637.0,-46.0,117,28,14,0.20512820512820512,0.17094017094017094,0.23931623931623933,0.11965811965811966
12007,-1.2439024390243902,902.5076784101173,221.0,-24.0,82,6,8,1304.378048780488,150817.17630231837,2004.0,827.0,-14.012195121951219,978.2591087021983,211.0,-39.0,82,6,6,0.07317073170731707,0.0975609756097561,0.07317073170731707,0.07317073170731707
12012,4.7727272727272725,1178.4122621564482,179.0,-18.0,44,9,7,1502.4772727272727,39578.90644820301,1910.0,1325.0,4.204545454545454,1300.7711416490488,179.0,-24.0,44,14,4,0.20454545454545456,0.1590909090909091,0.3181818181818182,0.09090909090909091
12016,0.704225352112676,262.15412474849103,64.0,-19.0,71,14,6,1378.2112676056338,257577.34044265593,1913.0,756.0,-2.9295774647887325,313.60925553319913,65.0,-33.0,71,16,5,0.19718309859154928,0.08450704225352113,0.22535211267605634,0.07042253521126761
12094,17.717741935483872,7317.936202167949,1053.0,-25.0,248,70,23,1687.6032388663969,48509.72811954837,2325.0,13.0,12.158536585365853,8037.6196615231465,1046.0,-54.0,246,87,18,0.28225806451612906,0.09274193548387097,0.35365853658536583,0.07317073170731707
12119,43.0,2026.888888888889,137.0,7.0,10,8,0,1354.8,412854.1777777778,2347.0,158.0,37.3,2154.6777777777775,125.0,-2.0,10,7,0,0.8,0.0,0.7,0.0
12124,0.13095238095238096,291.60915088927123,95.0,-16.0,84,12,10,1163.2619047619048,124668.65347102685,2221.0,756.0,4.678571428571429,290.3412220309811,98.0,-17.0,84,30,7,0.14285714285714285,0.11904761904761904,0.35714285714285715,0.08333333333333333
12129,6.134615384615385,2016.0011312217196,205.0,-16.0,52,5,6,1068.826923076923,99244.73416289594,1709.0,736.0,-4.269230769230769,2251.6907993966815,195.0,-39.0,52,8,4,0.09615384615384616,0.11538461538461539,0.15384615384615385,0.07692307692307693
12156,-1.6454545454545455,604.9465387823188,228.0,-18.0,110,9,9,1226.1090909090908,196091.7861551292,1946.0,706.0,-7.454545454545454,796.7639699749791,211.0,-43.0,110,18,5,0.08181818181818182,0.08181818181818182,0.16363636363636364,0.045454545454545456
12173,2.8997455470737914,1318.7428098105242,925.0,-25.0,3930,468,432,1342.398879266429,363004.58429428656,2359.0,1.0,1.003315480744708,1386.8078971680518,944.0,-56.0,3921,901,470,0.11908396946564885,0.1099236641221374,0.22978831930629942,0.11986738077021168
12177,2.5344827586206895,4081.3408953418043,473.0,-18.0,58,5,5,1186.2241379310344,124614.8436176648,1657.0,826.0,-1.9655172413793103,4083.051421657591,459.0,-29.0,58,8,4,0.08620689655172414,0.08620689655172414,0.13793103448275862,0.06896551724137931
12191,7.423670320747056,846.4801624447914,981.0,-19.0,4926,1182,473,1509.172623883022,267730.48045291484,2400.0,1.0,-2.1194393662400977,936.7419280074463,980.0,-48.0,4923,1098,347,0.23995127892813642,0.09602111246447421,0.2230347349177331,0.07048547633556775
12197,18.828235294117647,8182.912747176613,1270.0,-22.0,850,196,126,1441.9576470588236,252455.9510898635,2400.0,9.0,11.57193396226415,8573.062115735898,1282.0,-50.0,848,253,82,0.23058823529411765,0.14823529411764705,0.2983490566037736,0.09669811320754718
12206,1.8201219512195121,623.6892574774369,196.0,-16.0,328,46,46,1461.5274390243903,224562.5007738496,2347.0,611.0,-5.310975609756097,758.3617140299845,200.0,-43.0,328,55,22,0.1402439024390244,0.1402439024390244,0.1676829268292683,0.06707317073170732
12217,4.423188405797101,1364.7901726930436,381.0,-25.0,690,97,103,1454.4173913043478,221730.9111629962,2257.0,26.0,-0.11014492753623188,1554.643873709008,392.0,-42.0,690,151,54,0.14057971014492754,0.1492753623188406,0.21884057971014492,0.0782608695652174
12223,18.75,948.7236842105264,98.0,-11.0,20,10,2,1668.5,517860.68421052623,2354.0,8.0,15.75,1157.144736842105,99.0,-19.0,20,10,3,0.5,0.1,0.5,0.15
12244,14.538461538461538,3301.471153846154,342.0,-19.0,65,15,12,1143.5230769230768,149662.69086538462,2156.0,653.0,15.953846153846154,3503.5759615384586,325.0,-27.0,65,16,12,0.23076923076923078,0.18461538461538463,0.24615384615384617,0.18461538461538463
12255,23.71276595744681,9564.895104095174,682.0,-29.0,94,22,18,1455.5,324119.60752688174,2352.0,22.0,21.861702127659573,10718.507549759785,703.0,-42.0,94,29,12,0.23404255319148937,0.19148936170212766,0.30851063829787234,0.1276595744680851
12264,10.709658421672556,3671.2113851964773,1042.0,-32.0,5094,898,841,1505.1591355599214,272265.1666536059,2400.0,1.0,7.3911845730027546,4010.175619970244,1047.0,-66.0,5082,1459,486,0.1762858264625049,0.16509619159795838,0.28709169618260527,0.09563164108618655
12265,28.177777777777777,11727.331313131315,703.0,-36.0,45,19,4,1228.7333333333333,492870.92727272736,2140.0,1.0,25.466666666666665,11207.481818181815,684.0,-47.0,45,20,4,0.4222222222222222,0.08888888888888889,0.4444444444444444,0.08888888888888889
12266,6.789920022062879,1542.4916835349459,1035.0,-21.0,14504,2490,2316,1595.935808945334,238087.75704440632,2400.0,1.0,1.9387402336997857,1656.6254822187252,1021.0,-46.0,14463,3599,1322,0.17167677881963597,0.15968008825151683,0.2488418723639632,0.09140565581138077
12278,7.594351732991014,4496.267114585633,1041.0,-22.0,779,114,101,1358.96529562982,208447.72981078757,2309.0,309.0,3.1876606683804627,4768.289062474149,1043.0,-40.0,778,175,71,0.14634146341463414,0.12965340179717585,0.2249357326478149,0.09125964010282776
12280,6.485074626865671,2203.003534956795,355.0,-18.0,134,19,15,1448.6268656716418,162368.9273931097,2208.0,748.0,2.425373134328358,2310.697396476265,327.0,-50.0,134,28,15,0.1417910447761194,0.11194029850746269,0.208955223880597,0.11194029850746269
12323,6.342592592592593,1994.9454923383507,547.0,-15.0,540,84,76,1329.3265306122448,187041.70730597066,2357.0,621.0,-0.03896103896103896,2217.2531260560986,532.0,-37.0,539,107,51,0.15555555555555556,0.14074074074074075,0.19851576994434136,0.09461966604823747
12335,59.666666666666664,47560.654761904756,1216.0,-18.0,57,16,10,1579.3684210526317,124861.12969924808,2134.0,1114.0,46.98245614035088,47761.410401002504,1209.0,-51.0,57,16,8,0.2807017543859649,0.17543859649122806,0.2807017543859649,0.14035087719298245
12339,8.888136511375947,2081.342400536226,1008.0,-23.0,3692,690,549,1372.2671548684568,228523.46170712324,2400.0,2.0,4.728210697800706,2457.45001056721,1006.0,-57.0,3683,1068,318,0.18689057421451788,0.14869989165763814,0.28998099375509095,0.08634265544393158
12343,-4.566037735849057,696.134978229318,158.0,-24.0,53,6,5,1531.9622641509434,108283.53701015963,1952.0,1137.0,-12.981132075471699,801.4419448476054,137.0,-48.0,53,8,4,0.11320754716981132,0.09433962264150944,0.1509433962264151,0.07547169811320754
12389,10.4,3872.712500000001,345.0,-21.0,65,10,10,1142.7230769230769,111530.70336538463,1712.0,724.0,1.9846153846153847,3880.0778846153844,341.0,-51.0,65,13,5,0.15384615384615385,0.15384615384615385,0.2,0.07692307692307693
12391,9.41541755888651,889.0330665098197,219.0,-20.0,467,100,56,1410.9229122055674,218606.06271424773,2400.0,16.0,3.201284796573876,1072.8778524230088,217.0,-41.0,467,142,41,0.21413276231263384,0.11991434689507495,0.30406852248394006,0.08779443254817987
12397,43.04347826086956,20024.63043478261,840.0,-15.0,69,19,10,1273.2173913043478,225343.9079283887,2149.0,702.0,31.869565217391305,18990.35038363171,794.0,-44.0,69,22,8,0.2753623188405797,0.14492753623188406,0.3188405797101449,0.11594202898550725
12402,-2.4581589958158996,99.20055173986647,70.0,-14.0,478,33,33,1395.3995815899582,218343.99723252942,2211.0,449.0,-2.192468619246862,132.81822408182245,72.0,-26.0,478,79,27,0.06903765690376569,0.06903765690376569,0.16527196652719664,0.056485355648535567
12441,39.20987654320987,16907.63158538075,1261.0,-28.0,405,143,58,1528.7407407407406,194592.65786578675,2345.0,3.0,33.59753086419753,17415.6321721061,1259.0,-49.0,405,166,45,0.3530864197530864,0.14320987654320988,0.40987654320987654,0.1111111111111111
12448,5.5015432098765435,1307.2210177075576,396.0,-20.0,648,117,91,1385.6496913580247,186122.39177733887,2324.0,731.0,1.626543209876543,1445.0040548018392,378.0,-41.0,648,177,47,0.18055555555555555,0.1404320987654321,0.27314814814814814,0.07253086419753087
12451,7.876608629825889,2882.252849077366,935.0,-21.0,2642,446,383,1430.450170519136,229250.32721661232,2400.0,2.0,2.449165402124431,3000.0638285251916,911.0,-52.0,2636,605,228,0.1688115064345193,0.14496593489780468,0.2295144157814871,0.08649468892261002
12478,11.822980460775737,2403.9294815690346,1387.0,-24.0,10287,2304,1443,1516.5835765713173,326044.23175126396,2400.0,1.0,2.613145815020998,2885.9525952894255,1407.0,-75.0,10239,2947,864,0.22397200349956256,0.14027413240011666,0.28782107627698017,0.08438324055083504
